"","sr","gam","tree","best"
"1",267.58507012337,265.771715873906,262.950008368,1
"2",270.585157568202,267.166373357266,270.585157568202,1
"3",266.486249604501,262.389496138864,259.79994674816,1
"4",267.7164434802,267.714606444503,267.7164434802,1
"5",269.646586107097,268.737728576594,269.646586107097,1
"6",273.621232351254,271.284341761943,273.621232351254,1
"7",273.693925140741,269.914426753513,273.693925140741,1
"8",265.487036637701,264.581101978364,265.487036637701,1
"9",262.109079445492,260.07439946584,262.109079445492,1
"10",271.071771987807,270.169884391817,264.896779590831,1
"11",275.643236185631,274.671276553656,275.643236185631,1
"12",274.919575003987,265.916151398672,274.919575003987,1
"13",261.617552912444,261.024236789326,261.617552912444,1
"14",271.979774833496,271.978130010543,265.830426321054,1
"15",265.074244360854,265.073688219466,265.074244360854,1
"16",274.196706776082,274.194025864506,274.196706776082,1
"17",283.744953725522,282.857010160662,283.744953725522,1
"18",273.054091400498,271.364499820367,270.143064122158,1
"19",280.033472398326,280.032162879596,280.033472398326,1
"20",266.514154739381,266.512076600663,266.514154739381,1
"21",276.522905976342,276.520106470999,276.522905976342,1
"22",276.881976680681,268.768119644716,276.881976680681,1
"23",257.651849742124,256.938811499048,253.57409110726,1
"24",276.588080661225,276.585101278468,276.588080661225,1
"25",262.481997558771,260.240277846765,262.481997558771,1
"26",265.585910555979,265.58463881143,265.585910555979,1
"27",272.158676337831,272.155945245945,267.557432675543,1
"28",263.041012007539,259.235631233066,263.041012007539,1
"29",273.829514325794,260.098174573185,273.829514325794,1
"30",260.101831917638,260.100647024695,254.068003330601,1
"31",269.273891027108,267.548705644917,269.273891027108,1
"32",283.275788030845,283.268426183538,283.275788030845,1
"33",269.514387706162,269.510873252365,269.514387706162,1
"34",268.136162952239,268.130619781812,268.136162952239,1
"35",272.702491132661,272.700922659194,269.365151897759,1
"36",262.107777127019,262.102383561187,255.225971141194,1
"37",273.514203408871,269.371366093384,273.514203408871,1
"38",252.250497753244,251.754986514342,252.250497753244,1
"39",268.845305498305,265.974297615263,268.845305498305,1
"40",257.853391012427,257.851296119007,245.296903595038,1
"41",268.401829785631,261.301758308069,268.401829785631,1
"42",270.75039742128,270.743720826956,270.75039742128,1
"43",269.831770394157,269.830168866041,269.831770394157,1
"44",272.311136517514,266.857125167767,272.311136517514,1
"45",264.345241867709,263.589641489351,264.345241867709,1
"46",271.564970541472,269.876043937657,271.564970541472,1
"47",259.915695673319,254.936368222171,254.924845088239,1
"48",268.4837955535,268.483442436475,266.40583383197,1
"49",267.672249275596,262.838920493639,267.672249275596,1
"50",273.043003291763,273.039907735637,273.043003291763,1
"51",276.724117742953,276.722842658558,276.724117742953,1
"52",271.771379445518,271.767119316775,271.771379445518,1
"53",278.988184434942,278.987109904767,278.988184434942,1
"54",281.405548129776,277.945266265778,281.405548129776,1
"55",260.587303288098,260.582927839273,257.219139426524,1
"56",275.49641570608,274.378725954603,275.49641570608,1
"57",276.486989357883,275.977471121694,276.486989357883,1
"58",273.47488823083,268.549836388528,273.47488823083,1
"59",271.049449290485,265.912558959041,271.049449290485,1
"60",278.250984480241,273.677401219924,278.250984480241,1
"61",256.343250047029,253.466799873622,256.343250047029,1
"62",287.865209483887,287.862249532088,279.958468287084,1
"63",279.175828593552,276.848911964554,279.175828593552,1
"64",268.805674353323,267.709276362711,263.139076178411,1
"65",274.118534873273,269.68334267479,268.335237800124,1
"66",266.096088306524,266.091674395433,266.096088306524,1
"67",275.038568400727,267.718904626078,275.038568400727,1
"68",259.098224033893,255.113937659875,253.285686956798,1
"69",262.648490301572,260.39914529158,259.569546390459,1
"70",276.241149779,276.239399613348,276.241149779,1
"71",277.427987401588,273.776876623733,277.427987401588,1
"72",272.618450171529,266.564476891183,270.648681447252,1
"73",274.842383507366,274.841206062558,274.842383507366,1
"74",264.245633153376,261.79215036658,264.245633153376,1
"75",261.426952925356,253.183533809951,253.634368343572,1
"76",268.553301841109,260.403544322221,268.553301841109,1
"77",274.581771535572,274.324413209949,274.581771535572,1
"78",264.710849456452,264.706282685424,260.155831113682,1
"79",263.254278473925,259.869572779058,263.254278473925,1
"80",277.207284059546,276.035142232734,272.912154016569,1
"81",268.551207937107,268.550249179588,268.551207937107,1
"82",275.207801023871,275.204186291075,275.207801023871,1
"83",274.025594503677,274.022582928493,270.781829951978,1
"84",265.638280418436,265.636421388677,265.638280418436,1
"85",271.693644050693,271.10129724797,271.693644050693,1
"86",266.507994963743,261.298074899556,258.973270797666,1
"87",262.256603380114,261.767671606376,262.256603380114,1
"88",279.628892152397,279.623742707604,279.628892152397,1
"89",280.771506940921,273.70339217844,280.771506940921,1
"90",279.130038804291,279.125740015512,279.130038804291,1
"91",273.776975502569,273.774454956215,266.635684148149,1
"92",260.878642043369,259.600123224712,260.878642043369,1
"93",266.431782018675,261.884863586022,266.431782018675,1
"94",254.972253559391,254.97103384304,247.073292731288,1
"95",271.265227798116,269.483471533331,271.265227798116,1
"96",269.029982032662,268.089352281812,269.029982032662,1
"97",267.127920447979,265.934736736322,267.127920447979,1
"98",281.739474477803,281.738048780306,281.739474477803,1
"99",272.07917708924,263.057237874545,272.07917708924,1
"100",267.222792968984,265.398892798782,267.222792968984,1
